Email,FullName,Company,CustomData
anel@anelgroup.com,,Anel Elektrik,"{}"
info@astoras.com.tr,,Astor Transformatör,"{}"
adapazari-ik@enkapower.com,,Adapazarı Elektrik,"{}"
info@adularya.com,,Adularya,"{}"
info@akfenren.com.tr,,Akfen Yenilenebilir Enerji,"{}"
info@aktermenerji.com,,Akterm Enerji,"{}"
info@alarko-carrier.com.tr,,Alarko,"{}"
info@alfasolarenerji.com,,Alfa Solar,"{}"
almera@almera.com.tr,,Almera Elektrik,"{}"
satis@aspilsan.com,,Aspilsan,"{}"
info@atiker.com.tr,,Atiker,"{}"
info@bakirlarenerji.com.tr,,Bakırlar Enerji,"{}"
info@brenpower.com,,Bren,"{}"
power@cengiz.com.tr,,Cengiz Enerji,"{}"
info@demirexport.com,,Demir Export,"{}"
ekotek@ekotekkazan.com.tr,,Ekotek Isı Teknolojileri,"{}"
info@enerjipetrol.com,,Energy,"{}"
info@erkenerji.com,,Erk Enerji Mühendislik,"{}"
info@ersekablo.com.tr,,Erse Kablo,"{}"
info@entekelektrik.com.tr,,Entek Elektrik,"{}"
info@eren-enerji.com.tr,,Eren Enerji,"{}"
info@escon.com.tr,,Escon Enerji,"{}"
info@karbonizleme.com,,Gt Karbon Izleme,"{}"
info@gesanelektrik.com.tr,,Gesan Elektrik,"{}"
info@guris.com.tr,,Güriş,"{}"
girisim@girisimelk.com.tr,,Girişim Elektrik,"{}"
info@habas.com.tr,,Habaş,"{}"
info@kadoil.com.tr,,Kadoil,"{}"
info@kalyonpv.com,,Kalyon Pv,"{}"
contact@kavaken.com,,Kavaken,"{}"
info@kj.com.tr,,Kj Power Generator,"{}"
info@kontrolmatik.com,,Kontrolmatik Teknoloji,"{}"
info@loggma.com.tr,,Loggma Digital Energy Solutions,"{}"
info@moil.com.tr,,M Oil,"{}"
insankaynaklarigrubu@mutlu.com.tr,,Mutlu Akü,"{}"
info@mepaenerji.com,,Mepa Enerji,"{}"
info@mete-enerji.com.tr,,Mete Enerji,"{}"
dlpg@demiroren.com.tr,,Milangaz,"{}"
info@mimsangrup.com.tr,,Mimsan Grup,"{}"
info@sayas-re.com,,Say Yenilenebilir Enerji,"{}"
info@starkgen.com,,Starkgen,"{}"
