Email,FullName,Company,CustomData
info@a2.tc,,a2 Teknoloji,"{""Phone"": ""(850) 885 2030""}"
info@alpplas.com,,Alpplas,"{""Phone"": ""(212) 290 2200""}"
info@architecht.com,,Architecht,"{""Phone"": ""(216) 585 9970""}"
info@aritaselektromekanik.com,,Arıtaş Elektronik,"{""Phone"": ""(216) 451 6584""}"
destek@armut.com,,Armut,"{""Phone"": ""(216) 474 0700""}"
bilgi@kaynakbilisim.com.tr,,Aidata,"{""Phone"": ""(216) 465 7070""}"
airtiesdestek@airties.com,,AirTies,"{""Phone"": ""444 0 239""}"
info@akkoctech.com,,Akkoç Teknoloji,"{""Phone"": ""(507) 931 3700""}"
info@arnica.com.tr,,Arnica,"{""Phone"": ""(212) 659 1699""}"
arcelik@arcelik.hs02.kep.tr,,Arçelik,"{""Phone"": ""444 0 888""}"
aselsan@hs02.kep.tr,,Aselsan,"{""Phone"": ""(312) 592 1010""}"
destek@avansas.com,,Avansas,"{""Phone"": ""444 20 22""}"
bg@bg.com.tr,,B&G Güvenlik,"{""Phone"": ""(212) 210 2420""}"
iletisim@bood.com.tr,,Bood,"{""Phone"": ""(212) 659 8556""}"
info@botech.com.tr,,Botech,"{""Phone"": ""(216) 526 2323""}"
bilgi@bilsoft.com,,Bilsoft,"{""Phone"": ""(212) 912 2426""}"
info@baykarmakina.com,,Baykar,"{""Phone"": ""(212) 593 1111""}"
destek@bilkom.com.tr,,Bilkom,"{""Phone"": ""(216) 554 9000""}"
iletisim@bionluk.com,,Bionluk,"{}"
buyutech@buyutech.com.tr,,Büyütech,"{""Phone"": ""(312) 210 1315""}"
info@bbmobile.com.tr,,BB Mobile,"{""Phone"": ""0850 433 05 05""}"
info@bioanalyse.com,,Bioanalyse,"{""Phone"": ""(312) 395 7200""}"
bilgi@bimsa.com.tr,,Bimsa,"{""Phone"": ""(262) 679 1000""}"
info@casper.com.tr,,Casper,"{""Phone"": ""(850) 200 1919""}"
hi@cbot.ai,,Cbot,"{""Phone"": ""(212) 286 1955""}"
info@ddtech.com.tr,,DDTech,"{""Phone"": ""(850) 226 2222""}"
sales@dofrobotics.com,,Dof Robotics,"{""Phone"": ""(212) 801 0003""}"
info@deephaber.com,,Deep Haber Takip,"{""Phone"": ""(212) 963 0375""}"
duzey_kurumsal@duzey.com.tr,,Düzey,"{""Phone"": ""(216) 556 5000""}"
