Email,FullName,Company,CustomData
info@cerezos.com.tr,,Çerezos,"{}"
irtibat@afia.com.tr,,Afia,"{}"
help@alyfoods.com,,Aly,"{}"
info@doguscay.com.tr,,Chips Master VE PATOS,"{}"
info@cipso.com.tr,,Cipso,"{}"
info@goldharvest.com.tr,,Master Potato,"{}"
website@patiswiss.com.tr,,Patiswiss,"{}"
info@solen.com.tr,,"Ranchos, GRETA , LUPPO , MİLANGO","{}"
konyaseker@konyaseker.com.tr,,Torku,"{}"
info@alpedo.com.tr,,ALPEDO,"{}"
info@arolez.com,,"Dondo , FİERO","{}"
info@dodondurma.com,,Do,"{}"
iletisim@file.com.tr,,HARRAS,"{}"
info@yasardondurma.com,,ICEMAR,"{}"
merhaba@kechy.com.tr,,Kechy,"{}"
info@sansetgida.com.tr,,L’era Fresca,"{}"
musterihizmetleri@panda.com.tr,,Panda,"{}"
info@wefood.com.tr,,Wefood,"{}"
info@saraybiskuvi.com.tr,,Saray Bisküvi,"{}"
muhasebe@sadeorganik.com.tr,,Sade Organik,"{}"
elvan@elvan.com.tr,,Elvan,"{}"
bifa@bifa.com.tr,,Bifa Bisküvi,"{}"
info@balkos.com.tr,,BALKOS,"{}"
info@hakkiefendi.com,,Hakkı Efendi,"{}"
bilgi@hommbitkisel.com.tr,,Homm Bitkisel,"{}"
info@herby.com.tr,,Herby,"{}"
info@karalicay.com,,KARALİ,"{}"
info@kahvediyari.com.tr,,Kahve Diyarı,"{}"
info@meshstick.com,,Mesh Stick,"{}"
info@nevadacoffee.co,,Nevada Coffee,"{}"
siparis@ossokahve.com,,OSSO OSMANLI KAHVESİ,"{}"
obsesso@dimes.com.tr,,Obsesso,"{}"
info@pekseker.com.tr,,Pekşeker,"{}"
info@saraykahve.com,,SARAY KAHVE,"{}"
shop@neonas.com.tr,,Shazel,"{}"
siparis@siriuskahve.com,,Sirius,"{}"
info@soulmate.com.tr,,Soulmate Coffee,"{}"
sales@thewhirl.com.tr,,The Whirl,"{}"
info@tahmis.com.tr,,Tahmis Kahvesi,"{}"
satis@elmascay.com.tr,,TİREBOLU ÇAYSAN,"{}"
yilkacay@yilkacay.com.tr,,Yılka Çay,"{}"
info@sekeroglugroup.com,,Şekeroğlu,"{}"
caykur@caykur.gov.tr,,Çaykur,"{}"
beypazari@beypazarimadensuyu.com.tr,,Beypazarı,"{}"
fresa@fresa.com.tr,,İnişdibi,"{}"
info@sarikiz.com.tr,,Sarıkız,"{}"
info@yenikavaklidere.com.tr,,Yeni Kavaklıdere,"{}"
