Email,FullName,Company,CustomData
info@architecht.com,,Architecht,"{}"
bilgi@kaynakbilisim.com.tr,,Aidata,"{}"
airtiesdestek@airties.com,,Airties,"{}"
akakcebilgiteknolojileri@hs06.kep.tr,,Akakçe,"{}"
aselsan@hs02.kep.tr,,Aselsan,"{}"
destek@avansas.com,,Avansas,"{}"
bilgi@bilsoft.com,,Bilsoft,"{}"
info@baykarmakina.com,,Baykar,"{}"
destek@bilkom.com.tr,,Bilkom,"{}"
buyutech@buyutech.com.tr,,Büyütech,"{}"
bilgi@bimsa.com.tr,,Bimsa,"{}"
hi@cbot.ai,,Cbot,"{}"
info@ddtech.com.tr,,Ddtech,"{}"
sales@dofrobotics.com,,Dof Robotics,"{}"
info@deephaber.com,,Deep Haber Takip,"{}"
bilgi@dermoeczanem.com,,Dermo Eczanem,"{}"
duzey_kurumsal@duzey.com.tr,,Düzey,"{}"
merhaba@dijibiz.com,,Dijibiz Grafik Tasarım,"{}"
info@oyunlagelecek.com,,Ditop,"{}"
info@enkasystems.com,,Enka Systems,"{}"
info@erginayteknoloji.com,,Erginay Teknoloji,"{}"
info@etiya.com,,Etiya,"{}"
info@exepix.com,,Exepix,"{}"
onurkaplan@edimly.com,,Edimly,"{}"
bizeulasin@escort.com.t,,Escort Computer,"{}"
info@gtech.com.tr,,Gtech,"{}"
account@gleamgames.com,,Gleam Games,"{}"
bilgi@kotucikti.com.tr,,Kötü Çıktı.Com,"{}"
info@loggma.com.tr,,Loggma,"{}"
iletisim@logo.com.tr,,Logo Yazılım,"{}"
matriks@matriksdata.com,,Matriks,"{}"
contact@madbytegames.com,,Madbyte Games,"{}"
milsoft@milsoft.com.tr,,Milsoft,"{}"
info@novitasgroups.com,,Mirket Medya,"{}"
info@netas.com.tr,,Netaş,"{}"
hey@pow.games,,Pow Games,"{}"
info@patika.dev,,Patika,"{}"
saticidestek@pazarama.com,,Pazarama,"{}"
info@penta.com.tr,,Penta,"{}"
info@protel.com.tr,,Protel,"{}"
info@proxolab.com,,Proxolab,"{}"
destek@epttavm.com,,Ptt Avm,"{}"
ram@ram.com.tr,,Ram Dış Ticaret,"{}"
info@reeder.com.tr,,Reeder,"{}"
atesrefleks@refleks.com.tr,,Reflex,"{}"
info@senkron.net,,Senkron Tech,"{}"
bilgi@seyirmobil.com,,Seyir,"{}"
merhaba@smart-ix.ai,,Smart.Ix,"{}"
sahagozu@i4.com.tr,,Sahagözü,"{}"
iletisim@sahibinden.com,,Sahibinden,"{}"
info@simbt.com.tr,,Simbt,"{}"
info@sanlab.com.tr,,Sanlab,"{}"
nfo@singiant.com,,Singingiant,"{}"
info@togg.com.tr,,Togg,"{}"
info@taleworlds.com,,Taleworlds,"{}"
info@threadinmotion.com,,Thread In Motion,"{}"
info@touchapp.io,,Touchapp,"{}"
musterihizmetleri@turk.net,,Türk Net,"{}"
